codigo;fechareg;origen;documento;valor;estado;tipo_mov
2571;2019-01-01;7;0;95000;S;101
2572;2019-01-01;7;0;95000;S;101
2573;2019-01-01;7;0;95000;S;101
2574;2019-01-01;7;0;95000;S;101
2575;2019-01-01;7;0;95000;S;101
2576;2019-01-01;7;0;95000;S;101
2577;2019-01-01;7;0;95000;S;101
2578;2019-01-01;7;0;95000;S;101
2579;2019-01-01;7;0;95000;S;101
2580;2019-01-01;7;0;95000;S;101
2581;2019-01-01;7;0;95000;S;101
2582;2019-01-01;7;0;95000;S;101
2569;2019-01-01;7;0;95000;S;101
2694;2019-01-01;7;0;7300000;S;101
2695;2019-01-01;7;0;7300000;S;101
1955;2019-01-01;7;0;30933;S;101
1951;2019-01-01;7;0;174000;S;101
1954;2019-01-01;7;0;30933;S;101
1953;2019-01-01;7;0;30933;S;101
1952;2019-01-01;7;0;30933;S;101
1960;2019-01-01;7;0;30933;S;101
1956;2019-01-01;7;0;30933;S;101
1982;2019-01-01;7;0;89600;S;101
1983;2019-01-01;7;0;89600;S;101
1984;2019-01-01;7;0;89600;S;101
1985;2019-01-01;7;0;89600;S;101
29;2019-01-01;7;0;87000;S;101
30;2019-01-01;7;0;87000;S;101
31;2019-01-01;7;0;87000;S;101
32;2019-01-01;7;0;87000;S;101
43;2019-01-01;7;0;69000;S;101
44;2019-01-01;7;0;69000;S;101
45;2019-01-01;7;0;69000;S;101
46;2019-01-01;7;0;69000;S;101
47;2019-01-01;7;0;69000;S;101
48;2019-01-01;7;0;69000;S;101
49;2019-01-01;7;0;69000;S;101
50;2019-01-01;7;0;69000;S;101
2524;2019-01-01;7;0;1744512;S;101
2374;2019-01-01;7;0;5197920;S;101
2716;2019-01-01;7;0;2803000;S;101
1693;2019-01-01;7;0;286701;S;101
1694;2019-01-01;7;0;286701;S;101
1695;2019-01-01;7;0;286701;S;101
1696;2019-01-01;7;0;286701;S;101
1697;2019-01-01;7;0;286701;S;101
1698;2019-01-01;7;0;286701;S;101
1699;2019-01-01;7;0;286701;S;101
1700;2019-01-01;7;0;286701;S;101
1701;2019-01-01;7;0;286701;S;101
1702;2019-01-01;7;0;286701;S;101
1703;2019-01-01;7;0;286701;S;101
1704;2019-01-01;7;0;286701;S;101
1705;2019-01-01;7;0;286701;S;101
1706;2019-01-01;7;0;286701;S;101
1707;2019-01-01;7;0;286701;S;101
1708;2019-01-01;7;0;286701;S;101
1709;2019-01-01;7;0;286701;S;101
1710;2019-01-01;7;0;286701;S;101
1711;2019-01-01;7;0;286701;S;101
1712;2019-01-01;7;0;286701;S;101
1713;2019-01-01;7;0;286701;S;101
1714;2019-01-01;7;0;286701;S;101
1715;2019-01-01;7;0;286701;S;101
1716;2019-01-01;7;0;286701;S;101
1717;2019-01-01;7;0;286701;S;101
1718;2019-01-01;7;0;286701;S;101
1719;2019-01-01;7;0;286701;S;101
1720;2019-01-01;7;0;286701;S;101
1721;2019-01-01;7;0;286701;S;101
1722;2019-01-01;7;0;286701;S;101
1723;2019-01-01;7;0;286701;S;101
1724;2019-01-01;7;0;286701;S;101
1725;2019-01-01;7;0;286701;S;101
1726;2019-01-01;7;0;286701;S;101
1727;2019-01-01;7;0;286701;S;101
1728;2019-01-01;7;0;286701;S;101
1729;2019-01-01;7;0;286701;S;101
1730;2019-01-01;7;0;286701;S;101
1731;2019-01-01;7;0;286701;S;101
1732;2019-01-01;7;0;286701;S;101
1733;2019-01-01;7;0;286701;S;101
1734;2019-01-01;7;0;286701;S;101
1735;2019-01-01;7;0;286701;S;101
1736;2019-01-01;7;0;286701;S;101
1737;2019-01-01;7;0;286701;S;101
1738;2019-01-01;7;0;286701;S;101
1739;2019-01-01;7;0;286701;S;101
1740;2019-01-01;7;0;286701;S;101
1741;2019-01-01;7;0;286701;S;101
1742;2019-01-01;7;0;286701;S;101
1743;2019-01-01;7;0;286701;S;101
1744;2019-01-01;7;0;286701;S;101
1745;2019-01-01;7;0;286701;S;101
1746;2019-01-01;7;0;286701;S;101
1747;2019-01-01;7;0;286701;S;101
1748;2019-01-01;7;0;286701;S;101
1749;2019-01-01;7;0;286701;S;101
1750;2019-01-01;7;0;286701;S;101
1751;2019-01-01;7;0;286701;S;101
1752;2019-01-01;7;0;286701;S;101
1753;2019-01-01;7;0;286701;S;101
1754;2019-01-01;7;0;286701;S;101
1755;2019-01-01;7;0;286701;S;101
1756;2019-01-01;7;0;286701;S;101
1757;2019-01-01;7;0;286701;S;101
1758;2019-01-01;7;0;286701;S;101
